# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.045e-05 to 189.472 h/Mpc,
# number of wavenumbers equal to 637
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:t_g                    8:t_b                    9:t_cdm                 10:t_ur                  11:t_tot              
       2.586398907712e-03      -2.257330396335e+00      -1.854307674894e+00      -1.855875031867e+00      -2.236025555123e+00      -1.866956947976e+00       4.486921044038e-04       9.074238762576e-04       9.079199226219e-04       4.307199274618e-04       8.900899927464e-04 
       2.698636858273e-03      -2.300452688215e+00      -1.914466587233e+00      -1.916323498698e+00      -2.275918536467e+00      -1.926824583022e+00       4.519322172812e-04       9.865131253846e-04       9.871002116051e-04       4.321930966401e-04       9.663392472906e-04 
       2.812045774843e-03      -2.342937830438e+00      -1.977656808254e+00      -1.979844941332e+00      -2.314882028872e+00      -1.989648576857e+00       4.504672820228e-04       1.069604432083e-03       1.070295427321e-03       4.290649126769e-04       1.046271278420e-03 
       2.926522227346e-03      -2.384453974491e+00      -2.043869036804e+00      -2.046433950942e+00      -2.352590139834e+00      -2.055413599250e+00       4.438921704042e-04       1.156688750677e-03       1.157497714039e-03       4.210034397305e-04       1.129864073625e-03 
       3.041972628545e-03      -2.424673786853e+00      -2.113090359086e+00      -2.116082415858e+00      -2.388725823311e+00      -2.124101739456e+00       4.318491291805e-04       1.247750636755e-03       1.248693073318e-03       4.077338786781e-04       1.217091628167e-03 
       3.158312425015e-03      -2.463273176619e+00      -2.185306309622e+00      -2.188777456861e+00      -2.422984795439e+00      -2.195691145353e+00       4.140410472139e-04       1.342772851568e-03       1.343864307526e-03       3.890517240277e-04       1.307927526929e-03 
       3.275465296538e-03      -2.499952452219e+00      -2.260490707408e+00      -2.264506174100e+00      -2.455079936579e+00      -2.270158805492e+00       3.902295379113e-04       1.441725864454e-03       1.442987178576e-03       3.648178891391e-04       1.402340139756e-03 
       3.393362386273e-03      -2.534404761890e+00      -2.338628425059e+00      -2.343249019763e+00      -2.484742760255e+00      -2.347478009255e+00       3.602547437178e-04       1.544589228235e-03       1.546038363964e-03       3.349815433806e-04       1.500303072646e-03 
       3.511941575581e-03      -2.566349727501e+00      -2.419696633517e+00      -2.424986185703e+00      -2.511728501280e+00      -2.427621405584e+00       3.240303643742e-04       1.651334345669e-03       1.652989787301e-03       2.995688933323e-04       1.601787706671e-03 
       3.631146811106e-03      -2.595546381733e+00      -2.503653745155e+00      -2.509698916982e+00      -2.535818117068e+00      -2.510560663986e+00       2.815379795594e-04       1.761916242926e-03       1.763806132270e-03       2.586797688640e-04       1.706759771414e-03 
       3.750927487358e-03      -2.621742696886e+00      -2.590483236595e+00      -2.597361715934e+00      -2.556819583492e+00      -2.596265814438e+00       2.328589399897e-04       1.876309529864e-03       1.878456820441e-03       2.125145915408e-04       1.815195573043e-03 
       3.871237885001e-03      -2.644726760942e+00      -2.680154852456e+00      -2.687950397136e+00      -2.574570701644e+00      -2.684706935712e+00       1.781509450472e-04       1.994475719665e-03       1.996905219101e-03       1.613495272805e-04       1.927067441941e-03 
       3.992036663108e-03      -2.664317491097e+00      -2.772634000296e+00      -2.781438617809e+00      -2.588943422500e+00      -2.775852611402e+00       1.176608884124e-04       2.116376256084e-03       2.119115505715e-03       1.055480081556e-04       2.042351721317e-03 
       4.113286402413e-03      -2.680362993099e+00      -2.867879177319e+00      -2.877801471475e+00      -2.599836792402e+00      -2.869672382391e+00       5.170389538972e-05       2.241959577248e-03       2.245042741986e-03       4.554012675218e-05       2.161017978830e-03 
       4.234953195939e-03      -2.692718139815e+00      -2.965877688413e+00      -2.977008252507e+00      -2.607189362795e+00      -2.966135937883e+00      -1.928466893028e-05       2.371201834628e-03       2.374653466657e-03      -1.814469416299e-05       2.283053489154e-03 
       4.357006283050e-03      -2.701302621356e+00      -3.066575547920e+00      -3.079032297614e+00      -2.610970159887e+00      -3.065211544890e+00      -9.482788466238e-05       2.504044786702e-03       2.507900983270e-03      -8.492978828201e-05       2.408431316711e-03 
       4.479417722957e-03      -2.706044933820e+00      -3.169943183175e+00      -3.183843873365e+00      -2.611182204574e+00      -3.166869168599e+00      -1.743505794247e-04       2.640446940831e-03       2.644742463752e-03      -1.541646819487e-04       2.537133522659e-03 
       4.602162103782e-03      -2.706909112044e+00      -3.275952948830e+00      -3.291412304524e+00      -2.607866306353e+00      -3.271079341212e+00      -2.571960139001e-04       2.780372038545e-03       2.785138922035e-03      -2.251371918293e-04       2.669148866250e-03 
       4.725216283514e-03      -2.703907415800e+00      -3.384544048282e+00      -3.401708993482e+00      -2.601088791374e+00      -3.377810441707e+00      -3.426813871116e-04       2.923753217220e-03       2.929037241903e-03      -2.971079785847e-04       2.804451071524e-03 
       4.848559159457e-03      -2.697061148490e+00      -3.495698663350e+00      -3.514702006315e+00      -2.590955994581e+00      -3.487035193057e+00      -4.300132289555e-04       3.070560579207e-03       3.076399424548e-03      -3.692767835792e-04       2.943035093412e-03 
       4.972171463028e-03      -2.686435801069e+00      -3.609371570126e+00      -3.630360807963e+00      -2.577597904017e+00      -3.598724380315e+00      -5.183789665050e-04       3.220738474400e-03       3.227175272441e-03      -4.408316133965e-04       3.084882747637e-03 
       5.096035577095e-03      -2.672127721798e+00      -3.725518371642e+00      -3.748654238195e+00      -2.561175022429e+00      -3.712849284710e+00      -6.069195950442e-04       3.374233601784e-03       3.381316187487e-03      -5.109413155061e-04       3.229978842668e-03 
       5.220135373297e-03      -2.654259567086e+00      -3.844114557634e+00      -3.869550902331e+00      -2.541881496638e+00      -3.829384827484e+00      -6.947155900678e-04       3.531012369146e-03       3.538783787102e-03      -5.787590691012e-04       3.378321031701e-03 
       5.344456067073e-03      -2.632981509466e+00      -3.965119010283e+00      -3.993019236161e+00      -2.519925542560e+00      -3.948303929919e+00      -7.808463291862e-04       3.691019441667e-03       3.699525573911e-03      -6.434565361029e-04       3.529891992222e-03 
       5.468984088379e-03      -2.608484698728e+00      -4.088482573961e+00      -4.119028844442e+00      -2.495546376677e+00      -4.069580328534e+00      -8.643837161971e-04       3.854204243964e-03       3.863498335996e-03      -7.042198204059e-04       3.684682603630e-03 
       5.593706966285e-03      -2.580967228480e+00      -4.214171754427e+00      -4.247547234033e+00      -2.468992994924e+00      -4.193188624208e+00      -9.443809415556e-04       4.020515981049e-03       4.030649875307e-03      -7.602645888227e-04       3.842676366714e-03 
